1,PR3,602764.9508,7797407.0996,933.971
2,PR6,602773.9856,7797402.4043,933.770
3,PR9,602781.6897,7797398.4926,933.558
4,PR12,602788.5624,7797394.7407,933.182
5,PR15,602796.2775,7797390.8835,933.236
6,PR18,602802.5748,7797387.4816,933.505
7,PR17,602794.5961,7797373.1852,933.995
8,PR14,602787.9208,7797376.7298,933.963
9,PR16,602787.2519,7797359.1822,934.203
10,PR13,602779.9773,7797363.0313,933.924
11,PR10,602772.4209,7797367.2722,933.882
12,PR7,602765.6404,7797370.5347,933.967
13,PR11,602780.0377,7797380.8143,933.840
14,PR8,602773.7067,7797384.2366,933.884
15,PR5,602765.9179,7797388.3499,933.870
16,PR2,602756.5626,7797393.3291,934.058
17,PR4,602757.9604,7797374.5347,934.078
18,PR1,602749.3411,7797379.1668,935.766
